,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std
Logistic Regression,0.777,0.6899383983572895,0.8235294117647058,0.7508379888268156,0.8606170508744038,0.8423902477703719,0.008199254852148258
Random Forest,0.776,0.7035398230088495,0.7794117647058824,0.7395348837209302,0.8482503643349231,0.8422487909411039,0.014628531593136082
Gradient Boosting,0.774,0.71875,0.7328431372549019,0.7257281553398058,0.8429923489666136,0.8412594751974571,0.015954716434608354
LightGBM,0.772,0.7064220183486238,0.7549019607843137,0.7298578199052133,0.8460022522522522,0.840457747688772,0.014661274743209666
Ensemble (Voting),0.786,0.7174887892376681,0.7843137254901961,0.7494145199063232,0.8585842276099629,0.0,0.0
