,accuracy,precision,recall,f1,roc_auc,cv_auc_mean,cv_auc_std
Logistic Regression,0.709,0.6941431670281996,0.6808510638297872,0.6874328678839957,0.7840024086712164,0.7829335608189483,0.020011120142311788
Random Forest,0.727,0.717439293598234,0.6914893617021277,0.704225352112676,0.7795423524688879,0.7732461862705741,0.02140075751834955
Gradient Boosting,0.707,0.7006802721088435,0.6574468085106383,0.6783754116355654,0.7570895222802088,0.756394269369731,0.018870333562881255
LightGBM,0.72,0.7188940092165899,0.6638297872340425,0.6902654867256637,0.7681252509032517,0.7536104977920515,0.016850048377724584
Ensemble (Voting),0.717,0.7120181405895691,0.6680851063829787,0.6893523600439078,0.7814251304696909,0.0,0.0
